location,location_score,area_sqft,bedrooms,bathrooms,age_years,distance_to_city_km,price_lakhs
Palampur,7.0,2502,2,1,4,21.4,155.78
Kullu,5.8,2448,2,1,4,10.9,202.32
Mandi,6.1,3701,2,2,15,16.6,212.83
Shimla,3.4,1319,1,1,36,23.3,8.0
Mandi,9.8,1548,4,4,12,19.3,193.12
Shimla,5.2,2680,1,1,37,13.7,107.75
Bilaspur,4.3,2180,2,2,32,13.9,110.47
Solan,5.0,3927,5,4,12,21.3,219.37
Palampur,9.8,708,1,1,9,20.7,87.66
Chamba,3.7,928,2,1,33,4.9,70.14
Chamba,9.1,1696,3,3,30,15.8,149.06
Bilaspur,8.0,2104,2,2,25,21.7,157.98
Bilaspur,8.8,3616,2,2,39,20.2,190.74
Palampur,9.8,2229,1,1,4,3.6,198.51
Chamba,8.9,2030,3,3,15,11.2,186.13
Shimla,9.6,1083,4,4,24,13.2,189.86
Mandi,3.9,2019,3,3,2,6.8,165.82
Mandi,8.6,2360,5,5,39,17.1,193.82
Bilaspur,6.8,2543,4,3,22,12.2,194.82
Dharamshala,6.8,2620,4,4,12,7.8,210.54
Solan,9.3,2003,3,3,9,8.8,240.35
Palampur,9.8,1050,4,4,0,21.5,168.9
Dharamshala,7.9,1034,3,3,23,21.7,106.49
Chamba,6.4,1041,5,4,39,20.4,101.64
Kullu,6.2,2665,3,3,1,22.9,161.28
Bilaspur,5.7,3497,3,3,16,23.8,178.87
Palampur,5.5,3590,1,1,26,12.5,179.25
Mandi,5.7,1589,5,4,17,2.9,182.43
Dharamshala,3.6,778,3,3,26,20.1,23.8
Chamba,3.5,2706,4,3,28,16.0,139.36
Shimla,8.5,634,4,3,38,9.8,107.68
Kullu,6.1,2693,1,1,24,24.4,104.97
Solan,9.5,1840,4,3,28,8.8,183.65
Dharamshala,7.3,3437,3,3,12,22.7,219.36
Chamba,3.2,2688,2,2,6,15.0,124.46
Chamba,4.1,3089,2,1,3,1.4,218.62
Mandi,4.4,1920,4,3,4,21.6,134.74
Mandi,9.8,3442,1,1,33,19.2,208.18
Bilaspur,4.5,2337,4,4,1,16.2,168.9
Dharamshala,6.6,2688,5,5,19,15.6,190.27
Shimla,9.6,1762,1,1,24,5.9,158.72
Shimla,9.8,2073,1,1,26,5.8,185.29
Kullu,4.7,3440,1,1,2,1.2,210.42
Kullu,3.3,1877,4,4,34,4.3,127.04
Dharamshala,4.1,574,5,5,17,8.7,85.53
Solan,3.4,1826,5,5,0,13.7,156.88
Solan,4.4,1871,1,1,5,3.7,141.3
Solan,7.0,1964,3,3,34,14.2,118.79
Palampur,9.4,747,1,1,37,7.0,102.42
Mandi,6.8,952,2,1,30,6.7,77.77
Mandi,7.4,1634,2,2,13,23.7,95.19
Mandi,4.4,1983,4,4,37,24.8,85.17
Bilaspur,8.6,601,5,4,11,20.4,160.79
Solan,7.3,1863,5,5,9,1.8,226.7
Chamba,9.0,1620,1,1,30,18.4,134.29
Solan,9.6,621,2,1,12,4.9,145.98
Dharamshala,5.4,1376,2,2,20,14.4,98.07
Chamba,3.6,1462,2,1,26,22.4,59.61
Chamba,4.6,1002,2,2,6,9.8,87.48
Dharamshala,6.1,3131,4,4,37,23.3,173.45
Solan,9.6,753,4,3,6,17.9,159.44
Mandi,5.6,2522,5,4,39,7.9,184.01
Mandi,8.4,2828,4,4,11,2.8,272.43
Chamba,6.8,3321,2,1,16,20.5,188.49
Mandi,4.3,2409,1,1,10,11.7,154.4
Chamba,5.2,2399,2,2,21,2.3,163.47
Bilaspur,7.6,3162,4,4,0,3.0,300.0
Palampur,7.7,3489,5,5,6,24.2,254.03
Bilaspur,6.0,1238,2,1,20,6.5,106.15
Dharamshala,4.6,3286,1,1,27,24.2,115.56
Dharamshala,8.1,2118,1,1,38,17.2,113.45
Shimla,4.2,843,1,1,33,7.9,34.35
Shimla,9.6,2643,4,3,36,9.9,214.7
Dharamshala,4.3,3919,3,2,31,19.5,165.72
Solan,3.8,992,4,3,31,11.2,89.89
Kullu,6.5,551,1,1,13,2.3,96.53
Kullu,6.6,3707,3,3,36,6.1,229.23
Palampur,6.6,2588,1,1,38,21.6,102.2
Solan,6.1,1266,2,2,20,17.6,82.46
Dharamshala,10.0,3273,4,4,4,12.8,254.8
Kullu,6.4,1877,2,1,1,6.5,184.63
Shimla,6.3,1661,4,3,19,12.1,128.6
Bilaspur,6.0,1514,2,1,25,19.8,70.99
Dharamshala,3.5,2594,3,2,22,2.5,177.74
Dharamshala,7.2,970,3,2,35,24.9,70.93
Palampur,4.6,1767,2,2,21,21.6,87.38
Kullu,7.5,1567,1,1,26,8.3,128.91
Chamba,3.4,712,3,3,30,21.8,37.15
Solan,9.9,3171,5,4,35,17.2,240.63
Dharamshala,6.3,529,4,3,24,16.8,59.84
Palampur,9.3,3859,4,3,22,3.9,304.88
Solan,6.3,832,5,4,3,22.7,118.6
Palampur,3.4,1753,1,1,25,11.5,91.79
Chamba,8.8,844,4,4,7,20.2,122.43
Bilaspur,7.5,1784,2,1,14,7.8,148.19
Palampur,8.5,2638,4,3,21,8.0,227.92
Kullu,6.0,806,5,4,3,24.1,94.21
Dharamshala,7.5,2340,5,5,27,12.7,168.16
Kullu,9.0,3201,3,2,11,2.0,269.71
Dharamshala,7.4,2094,5,5,20,21.0,183.47
Bilaspur,5.4,893,4,4,14,6.1,122.01
Palampur,7.6,2921,1,1,14,22.0,175.22
Solan,7.7,1152,2,2,15,23.0,103.68
Solan,9.7,558,5,4,2,2.3,190.15
Chamba,5.6,2028,5,5,7,14.8,178.35
Palampur,6.0,1448,5,5,31,24.5,122.9
Palampur,8.7,599,2,1,4,23.3,81.79
Kullu,6.5,3220,2,1,19,13.4,200.46
Mandi,8.2,2599,5,4,5,17.2,212.12
Kullu,6.2,3684,1,1,21,15.3,184.35
Shimla,4.5,2181,5,5,25,5.5,186.35
Palampur,8.2,2034,4,3,18,16.5,161.66
Dharamshala,3.9,3449,4,4,30,8.7,194.1
Palampur,4.4,785,3,2,10,8.8,117.22
Mandi,7.4,1765,5,5,22,10.8,191.49
Bilaspur,8.2,3295,4,4,11,21.4,224.51
Solan,9.3,1523,1,1,20,6.3,148.86
Solan,4.9,3598,3,3,2,6.6,237.29
Bilaspur,3.8,1494,5,4,10,0.7,171.96
Shimla,9.7,1947,1,1,28,4.3,163.31
Shimla,4.1,3640,4,3,31,24.5,153.8
Kullu,4.4,1351,2,2,10,11.1,109.63
Solan,5.0,3888,3,3,10,5.3,227.6
Palampur,6.7,653,5,4,11,24.2,87.09
Chamba,9.2,1430,3,2,11,1.2,190.87
Bilaspur,8.3,2568,1,1,39,12.4,155.33
Bilaspur,8.0,2579,1,1,26,20.2,132.62
Palampur,4.2,3684,4,4,15,19.4,207.3
Dharamshala,5.5,3859,5,4,18,5.1,270.77
Chamba,6.3,2872,2,1,20,17.8,153.95
Chamba,4.0,2809,5,4,22,15.7,190.02
Shimla,4.9,1610,3,3,15,17.0,115.73
Mandi,5.2,3319,1,1,38,7.0,153.8
Solan,3.9,2750,3,3,11,20.4,166.98
Solan,6.9,584,5,5,17,14.2,111.44
Mandi,7.9,3412,2,2,0,18.3,232.4
Solan,3.5,1758,5,4,19,23.5,96.32
Bilaspur,6.4,2165,4,4,34,21.5,142.86
Palampur,8.5,2201,2,2,39,19.7,131.06
Dharamshala,8.2,3369,4,3,18,7.6,251.67
Dharamshala,8.7,1437,3,3,5,1.8,193.51
Palampur,6.1,1871,1,1,28,14.6,98.99
Mandi,8.7,636,5,4,25,1.3,171.39
Bilaspur,4.7,1719,2,1,38,18.0,55.46
Palampur,5.5,809,3,3,20,18.6,73.18
Solan,4.2,2540,4,4,0,14.3,180.88
Solan,6.3,3626,1,1,36,4.6,199.09
Palampur,5.7,2126,4,3,27,22.0,139.39
Bilaspur,4.7,3692,2,2,32,15.1,158.56
Palampur,8.3,3919,3,3,4,13.1,284.24
Shimla,5.2,688,3,3,18,14.4,61.5
Chamba,4.9,2307,4,4,18,2.5,178.96
Bilaspur,3.9,2348,1,1,10,18.6,94.51
Solan,6.1,1848,1,1,33,2.0,123.47
Shimla,5.1,3406,3,2,7,14.7,198.02
Solan,5.6,1882,1,1,2,4.6,170.77
Solan,4.7,693,2,2,9,5.6,91.7
Bilaspur,8.3,2417,4,4,39,6.2,204.48
Shimla,9.5,1206,5,5,4,0.9,208.51
Dharamshala,6.5,1742,4,4,23,22.4,136.45
Solan,7.5,2256,2,1,7,20.2,177.02
Shimla,9.1,3030,5,4,15,1.3,292.5
Shimla,10.0,1473,3,2,22,1.9,173.97
Dharamshala,7.3,1832,1,1,0,19.7,131.16
Bilaspur,9.2,737,4,4,9,0.7,181.36
Solan,9.4,1844,3,2,23,12.0,167.95
Kullu,8.5,2530,2,1,0,3.1,259.12
Mandi,6.2,2659,4,3,19,15.0,176.87
Chamba,3.6,1526,4,3,24,25.0,71.45
Shimla,3.1,712,2,1,8,4.7,62.43
Mandi,6.3,2520,1,1,6,23.9,142.21
Dharamshala,6.5,2793,3,2,19,21.7,181.46
Mandi,5.9,798,1,1,28,24.7,32.48
Chamba,7.0,2267,4,4,0,19.3,187.0
Palampur,6.9,832,3,3,13,21.5,79.6
Shimla,8.9,2085,2,1,39,15.1,157.5
Solan,3.8,2742,3,2,13,21.7,135.06
Solan,4.6,3017,2,1,13,3.2,187.06
Palampur,8.6,2998,2,1,29,18.7,155.13
Shimla,8.9,3153,2,1,19,15.9,209.69
Solan,10.0,1344,4,4,15,2.0,202.57
Chamba,9.1,3461,5,5,31,7.6,251.45
Dharamshala,9.2,1723,4,4,1,5.8,233.37
Chamba,5.2,1811,2,1,28,10.4,102.75
Bilaspur,5.8,3256,5,4,15,5.4,265.95
Chamba,4.9,1644,1,1,35,7.2,106.69
Mandi,7.2,762,2,2,28,7.8,87.31
Bilaspur,9.6,3000,1,1,37,15.2,202.97
Mandi,5.4,2817,5,4,5,3.8,252.65
Chamba,6.9,2536,1,1,7,6.4,179.79
Solan,5.1,1001,3,2,36,8.3,67.16
Bilaspur,4.2,2711,1,1,15,11.5,115.58
Shimla,4.4,1194,2,2,32,1.4,96.68
Kullu,3.4,2444,4,3,27,25.0,95.9
Shimla,9.6,2277,5,4,19,7.9,239.52
Solan,5.8,3204,1,1,1,7.5,200.62
Shimla,8.8,3918,1,1,2,14.1,249.92
Dharamshala,7.8,1165,2,2,28,21.4,83.27
Palampur,4.3,901,5,5,3,11.7,106.34
Solan,4.2,2444,1,1,0,6.6,150.46
Bilaspur,8.7,3831,1,1,8,14.4,238.04
Palampur,4.9,1053,3,2,36,12.3,70.13
Kullu,9.4,2205,2,2,25,10.9,184.71
Shimla,4.0,1925,1,1,28,24.6,46.39
Shimla,7.7,1613,3,3,26,24.9,128.32
Shimla,8.7,2823,4,3,22,14.3,216.43
Mandi,4.6,1534,1,1,10,2.2,138.2
Kullu,4.9,2225,4,4,17,14.4,158.0
Chamba,9.8,3458,1,1,21,23.8,208.2
Shimla,4.9,1828,4,4,39,23.2,86.91
Solan,6.0,573,2,1,35,5.8,73.32
Palampur,6.0,3597,2,1,29,5.2,210.41
Kullu,4.8,1460,1,1,32,4.2,100.74
Bilaspur,8.4,3204,5,5,32,20.6,241.66
Palampur,8.4,3169,3,3,26,12.5,213.33
Dharamshala,5.6,2342,4,3,33,8.8,167.41
Solan,8.8,807,2,2,2,8.5,151.19
Solan,4.5,3825,1,1,0,7.2,227.06
Chamba,3.0,2883,1,1,17,22.1,103.01
Shimla,7.0,1985,3,2,2,10.5,174.02
Shimla,10.0,3488,2,1,13,6.5,260.7
Palampur,3.3,3258,4,4,7,17.9,178.1
Bilaspur,4.5,3161,4,3,38,16.1,151.33
Bilaspur,6.6,1087,2,1,26,18.0,76.86
Bilaspur,8.7,2714,3,3,1,20.6,204.96
Solan,3.6,1500,2,1,24,3.0,102.63
Solan,5.8,774,4,4,29,0.5,120.06
Bilaspur,8.2,1683,4,4,13,1.7,205.95
Dharamshala,5.6,864,4,3,35,17.8,67.36
Shimla,4.3,870,1,1,38,23.4,8.0
Palampur,4.4,3044,2,1,39,8.6,144.13
Chamba,5.9,2256,5,5,3,19.6,193.29
Chamba,6.4,1892,2,1,17,18.4,115.61
Palampur,9.0,1172,1,1,31,24.5,86.8
Mandi,7.5,3198,1,1,17,12.0,183.93
Mandi,7.8,2719,1,1,19,4.6,205.02
Mandi,9.9,2549,4,3,13,19.2,212.33
Shimla,5.9,1165,1,1,16,20.6,59.3
Shimla,5.8,932,3,2,27,17.8,59.23
Shimla,9.5,932,2,2,1,21.6,114.54
Bilaspur,4.7,587,1,1,31,9.6,32.86
Bilaspur,8.1,3891,5,4,29,17.4,274.36
Palampur,8.3,1787,4,4,5,7.0,198.7
Kullu,3.7,2803,5,5,30,11.4,144.8
Dharamshala,6.3,3937,5,4,20,6.4,276.43
Shimla,4.4,3777,5,5,12,4.3,246.3
Solan,4.3,1622,4,3,18,1.4,155.35
Chamba,6.2,2214,3,3,20,16.9,144.11
Shimla,5.0,2120,4,3,8,21.9,136.94
Solan,8.6,616,3,2,24,8.2,132.03
Bilaspur,9.4,3189,1,1,25,11.0,222.92
Bilaspur,8.6,2510,2,1,14,0.6,204.41
Mandi,4.9,1800,3,2,18,10.6,114.43
Mandi,4.9,2454,1,1,24,7.4,116.41
Mandi,4.8,3074,5,5,20,14.6,231.59
Solan,3.9,552,5,4,17,22.8,46.15
Palampur,9.6,2761,3,2,38,12.9,214.01
Shimla,5.8,3514,3,3,35,17.1,179.51
Mandi,4.6,3042,5,5,15,17.8,181.69
Solan,8.9,2669,3,2,28,4.2,218.7
Palampur,5.8,816,4,3,32,9.0,90.5
Bilaspur,3.2,3106,3,3,4,3.3,211.8
Bilaspur,4.1,3127,2,2,23,11.3,172.4
Shimla,7.5,2228,4,4,31,22.2,146.02
Dharamshala,8.5,2539,1,1,2,12.3,180.49
Solan,4.5,2664,2,1,13,11.7,138.3
Bilaspur,9.4,923,4,4,31,5.6,127.97
Chamba,9.0,1401,4,4,37,8.1,156.42
Solan,8.9,3273,5,5,39,23.4,217.22
Solan,4.6,3908,4,4,24,7.9,220.78
Shimla,3.4,1445,1,1,1,18.4,59.24
Palampur,9.1,1902,5,5,1,1.5,250.05
Shimla,5.1,3703,3,2,32,3.6,208.77
Kullu,7.3,1068,1,1,29,8.1,94.57
Kullu,8.3,1414,3,3,7,22.6,135.14
Palampur,3.9,695,1,1,5,5.9,73.99
Shimla,8.5,1321,3,2,5,18.3,139.07
Chamba,9.6,2726,3,3,35,4.6,218.93
Chamba,8.1,1718,1,1,30,15.5,95.28
Dharamshala,6.1,3941,5,4,37,14.9,230.97
Kullu,9.1,3620,3,3,4,15.7,268.65
Solan,6.7,3635,5,4,27,7.5,250.89
Chamba,8.2,3042,3,2,36,4.5,240.28
Mandi,8.7,2957,3,2,21,22.2,197.26
Kullu,8.2,2283,5,5,30,14.5,192.91
Shimla,5.0,3967,2,2,24,5.7,228.99
Solan,3.8,833,5,4,0,10.6,140.06
Dharamshala,4.7,3029,1,1,17,2.1,184.21
Dharamshala,6.5,990,5,4,10,12.1,113.04
Dharamshala,6.5,1687,4,4,3,10.9,178.73
Chamba,7.1,1394,3,2,23,3.8,135.34
Chamba,5.8,2604,2,2,37,11.4,120.79
Shimla,8.5,3255,3,3,2,16.2,265.39
Mandi,9.4,779,3,2,13,23.2,129.97
Palampur,4.7,2605,5,4,26,17.7,149.45
Chamba,8.2,1275,5,5,12,12.8,162.35
Solan,7.7,769,3,3,4,19.4,115.91
Palampur,6.7,1961,2,1,7,7.4,153.3
Dharamshala,4.3,2534,2,1,0,16.9,145.14
Bilaspur,8.6,1206,2,2,39,0.6,128.63
Mandi,9.7,1864,1,1,19,2.3,181.29
Solan,8.1,3837,1,1,37,15.8,187.97
Solan,9.4,1713,4,3,27,5.2,202.15
Chamba,9.9,3984,2,1,13,17.4,278.21
Kullu,5.5,3419,3,3,37,16.1,176.92
Mandi,7.5,1798,4,3,10,2.1,198.65
Bilaspur,6.3,2518,4,3,7,10.1,209.53
Palampur,9.9,2982,2,2,32,15.5,206.16
Dharamshala,3.7,2126,4,4,22,18.0,143.22
Shimla,5.9,1927,1,1,16,20.5,88.97
Solan,9.1,1654,3,2,23,8.6,180.88
Bilaspur,5.0,988,1,1,38,21.0,24.99
Bilaspur,8.5,587,3,3,11,9.2,117.7
Chamba,5.7,1679,1,1,36,0.7,141.71
Solan,9.9,3285,5,5,36,15.4,280.23
Kullu,9.2,1316,4,4,30,6.4,167.41
Shimla,5.1,1129,2,2,6,3.5,126.69
Mandi,8.4,1648,4,4,3,6.8,198.37
Solan,5.4,2596,2,1,4,20.8,145.66
Dharamshala,7.2,1252,3,2,28,22.9,77.68
Chamba,7.6,1271,1,1,15,24.1,73.1
Solan,8.8,893,3,2,39,7.9,138.84
Dharamshala,3.2,1662,1,1,0,11.7,97.81
Kullu,4.5,1260,1,1,14,20.2,61.45
Kullu,8.0,3409,3,2,10,8.3,241.59
Shimla,6.9,3670,3,2,35,9.9,220.96
Palampur,6.5,1796,2,1,4,6.3,141.88
Chamba,3.4,798,1,1,16,14.5,28.48
Dharamshala,5.4,806,3,3,34,16.7,46.86
Kullu,9.1,1636,5,5,38,8.3,197.44
Dharamshala,3.2,2122,4,4,36,1.1,119.94
Mandi,5.8,2349,1,1,26,18.5,102.0
Shimla,9.6,1564,5,4,6,15.6,174.53
Kullu,3.4,1740,3,2,3,5.9,123.55
Chamba,8.2,1492,3,3,16,8.2,159.57
Shimla,4.8,2311,1,1,19,23.9,109.46
Palampur,9.1,2939,2,1,20,15.9,200.22
Solan,8.2,651,4,3,1,15.1,130.94
Dharamshala,9.2,2175,2,2,27,16.2,168.91
Solan,4.5,2769,1,1,15,23.9,113.82
Chamba,6.7,2853,1,1,4,8.8,225.06
Shimla,8.5,2472,5,5,36,7.4,209.53
Mandi,4.7,2337,5,4,14,9.7,184.82
Solan,4.6,2883,1,1,9,20.1,150.72
Mandi,3.2,1824,5,5,19,3.5,144.09
Kullu,9.7,2485,5,5,38,5.6,235.53
Chamba,8.0,1618,2,1,32,6.1,133.57
Kullu,7.4,2032,4,4,3,16.1,191.2
Dharamshala,8.2,934,2,1,27,16.2,94.68
Mandi,6.7,1725,2,1,26,9.6,125.66
Shimla,6.3,997,4,4,35,7.3,99.31
Bilaspur,6.1,1292,2,2,38,19.0,92.2
Kullu,7.5,1968,2,2,29,1.3,174.71
Bilaspur,4.4,2250,2,2,26,18.6,87.61
Kullu,9.2,3796,1,1,14,5.7,259.67
Palampur,8.7,591,5,4,35,22.6,77.68
Shimla,5.4,3644,4,4,37,10.6,220.84
Mandi,7.1,1648,5,5,39,16.2,138.94
Shimla,4.0,3034,3,2,38,3.5,166.73
Bilaspur,9.8,2872,1,1,25,6.7,205.82
Mandi,9.3,3897,2,1,38,17.7,220.67
Solan,9.5,880,2,2,31,14.0,120.75
Dharamshala,5.3,3885,5,5,9,19.4,256.57
Mandi,4.2,720,2,2,1,14.3,82.97
Solan,4.5,3570,4,4,39,14.4,168.0
Bilaspur,3.6,2782,1,1,17,21.5,110.01
Bilaspur,3.8,2186,5,5,34,10.9,144.54
Chamba,3.5,1892,4,4,11,22.4,102.7
Shimla,9.9,827,3,3,14,9.6,134.63
Chamba,3.5,3306,2,1,32,8.6,140.35
Shimla,3.9,3047,2,1,21,19.6,153.73
Bilaspur,8.8,3780,2,1,27,0.8,249.86
Bilaspur,7.1,3056,3,3,12,4.7,235.28
Solan,8.4,3849,5,4,24,2.3,296.44
Shimla,7.4,3603,2,2,19,13.0,222.29
Kullu,9.2,1989,4,4,37,15.9,166.8
Solan,7.5,2963,3,3,19,0.8,246.06
Chamba,6.7,1425,4,4,3,4.5,179.3
Kullu,8.0,3283,4,3,29,7.9,230.16
Solan,6.1,2630,1,1,38,7.7,144.66
Chamba,5.4,2041,1,1,35,2.9,108.14
Palampur,6.3,2698,5,5,4,4.7,247.51
Mandi,4.2,1470,1,1,39,21.3,28.49
Solan,8.6,2678,3,2,13,17.7,193.22
Palampur,4.8,2161,4,4,33,7.8,154.76
Kullu,4.1,1626,3,2,25,7.0,105.88
Solan,4.7,3914,1,1,38,2.5,192.77
Kullu,8.9,723,1,1,13,9.0,130.35
Palampur,5.3,3151,4,4,24,10.3,191.63
Bilaspur,7.8,1235,5,5,27,22.7,133.25
Bilaspur,9.0,1278,2,2,6,18.7,151.29
Shimla,3.5,1040,3,2,31,12.2,72.64
Mandi,8.4,858,5,4,5,3.8,207.29
Dharamshala,5.2,933,5,4,33,16.6,78.2
Dharamshala,4.5,3414,3,3,5,23.4,173.89
Palampur,7.8,3741,4,4,7,2.4,306.53
Bilaspur,9.4,2546,5,5,19,21.3,228.76
Bilaspur,5.1,548,4,3,7,4.9,101.4
Mandi,7.0,3525,3,3,3,17.7,240.43
Dharamshala,5.0,2606,4,3,2,5.0,240.26
Solan,6.9,2323,2,2,11,15.2,165.53
Kullu,7.4,3816,5,5,19,6.3,296.21
Dharamshala,7.3,1934,1,1,1,13.8,172.71
Shimla,7.4,1760,2,2,5,15.2,181.58
Shimla,3.9,3229,2,2,24,15.7,156.54
Palampur,7.9,2344,2,1,12,17.2,182.56
Chamba,7.7,3009,3,3,30,2.2,216.28
Palampur,7.8,2935,4,3,33,17.7,192.96
Dharamshala,3.5,3438,5,4,1,4.3,236.36
Chamba,6.1,1610,3,2,37,17.1,75.0
Palampur,5.9,752,4,3,27,3.5,91.65
Solan,3.6,2171,3,3,32,12.2,118.8
Chamba,4.6,2766,1,1,19,10.0,153.17
Chamba,6.1,3359,4,3,0,24.2,200.2
Palampur,8.2,1434,1,1,35,16.0,118.32
Shimla,4.7,3108,3,2,22,2.7,184.53
Dharamshala,8.8,3412,5,4,1,17.7,276.42
Dharamshala,6.8,3329,4,3,6,5.3,251.63
Dharamshala,8.3,3328,3,3,8,7.5,260.59
Shimla,6.3,3955,2,2,15,9.8,249.32
Dharamshala,6.5,2814,5,4,17,19.5,206.17
Palampur,7.3,1796,5,5,17,23.6,163.93
Chamba,9.5,2027,2,2,34,23.1,145.65
Dharamshala,6.4,3114,1,1,37,4.7,162.15
Shimla,6.7,1327,3,3,27,2.0,155.43
Shimla,7.2,2609,4,4,25,20.8,163.74
Shimla,8.2,2504,5,4,34,7.6,210.93
Mandi,3.5,2833,5,5,10,14.8,180.23
Solan,6.6,1974,2,1,22,24.5,111.68
Dharamshala,6.4,3089,2,1,25,5.1,190.76
Solan,9.5,750,5,4,11,9.7,167.44
Shimla,6.5,3124,2,2,38,21.8,170.07
Chamba,6.3,3341,3,3,9,16.4,198.78
Dharamshala,9.7,3600,2,1,2,23.5,242.12
Bilaspur,6.2,3729,2,2,12,16.0,202.84
Kullu,4.3,1722,3,2,32,7.9,115.81
Chamba,4.5,662,2,1,14,20.2,33.21
Palampur,3.7,2787,3,2,8,19.1,149.55
Dharamshala,3.0,815,2,1,34,23.4,8.0
Shimla,6.0,1481,1,1,6,12.2,131.48
Palampur,8.4,2958,4,3,6,12.8,242.74
Palampur,8.1,2580,5,4,35,8.4,213.13
Solan,3.2,2623,3,2,12,7.1,168.85
Palampur,7.0,3129,2,1,0,24.9,172.52
Mandi,4.1,1076,4,4,17,24.4,63.42
Palampur,9.6,3268,3,2,29,13.5,233.35
Chamba,4.2,2552,3,2,30,23.9,88.13
Dharamshala,7.4,1970,3,3,3,9.2,169.13
Bilaspur,5.3,2122,4,4,11,21.3,136.14
Palampur,7.5,2280,1,1,24,16.1,127.48
Palampur,5.9,2426,1,1,26,18.1,117.61
Chamba,8.3,1668,1,1,24,18.1,124.9
Mandi,4.6,1280,1,1,13,16.1,82.47
Chamba,9.3,1091,5,5,34,21.4,155.79
Solan,6.5,1692,4,3,3,10.1,171.34
Palampur,8.3,1411,4,3,32,21.3,124.76
Mandi,8.9,2306,4,3,37,5.0,202.07
Dharamshala,10.0,3692,1,1,27,5.4,259.86
Palampur,4.6,878,2,1,17,18.1,59.16
Palampur,5.0,1581,4,4,15,18.9,130.24
Solan,4.8,672,3,2,17,22.6,60.18
Palampur,4.8,3911,3,2,6,7.2,248.67
Bilaspur,7.1,2952,4,3,8,1.9,266.99
Bilaspur,10.0,1345,1,1,25,12.9,135.68
Palampur,9.9,1949,4,4,22,21.9,172.6
Mandi,6.7,3030,4,3,19,24.3,178.58
Mandi,7.5,3852,3,3,18,21.5,228.82
Palampur,9.0,2508,3,3,3,12.5,211.81
Kullu,9.5,1448,1,1,34,21.7,96.49
Chamba,4.4,2939,2,1,38,5.7,136.47
Dharamshala,6.7,2900,2,2,9,23.1,176.0
Bilaspur,8.8,2753,5,4,12,14.4,243.41
Kullu,5.1,660,1,1,25,10.0,31.17
Dharamshala,6.1,2973,2,2,0,14.8,189.1
Bilaspur,9.9,568,1,1,4,19.7,128.55
Kullu,9.9,3669,2,2,36,6.4,261.14
Chamba,9.3,3586,1,1,6,3.0,276.92
Chamba,8.6,2472,2,2,23,18.5,162.62
Palampur,4.9,2761,4,4,35,23.8,141.25
Kullu,5.2,737,4,3,29,16.1,70.46
Kullu,6.8,3560,2,1,10,4.0,232.04
Mandi,6.9,1447,4,4,6,16.3,145.9
Dharamshala,6.5,1417,4,4,28,3.4,145.49
Chamba,7.5,2978,5,4,16,7.9,226.38
Solan,5.9,3786,5,5,38,1.3,240.5
Dharamshala,8.2,2229,2,2,25,12.4,164.29
Chamba,5.3,2276,3,3,0,8.4,172.52
Shimla,5.3,2419,4,3,10,2.9,195.17
Shimla,3.9,1518,2,2,29,8.1,69.31
Palampur,4.3,2588,3,2,28,16.4,141.16
Shimla,9.0,3863,3,3,29,7.6,293.42
Shimla,6.1,1839,2,1,9,4.0,169.18
Bilaspur,4.6,3205,1,1,9,13.8,183.35
Palampur,8.3,3208,1,1,8,19.0,210.97
Kullu,6.9,3477,4,4,27,20.8,212.91
Palampur,3.1,3032,5,5,0,12.1,206.85
Chamba,5.2,3725,4,3,32,17.9,186.68
Mandi,4.2,3000,2,1,11,20.9,153.51
Mandi,7.6,3916,1,1,19,17.0,226.99
Bilaspur,4.9,3003,4,4,9,13.4,195.66
Kullu,3.5,3429,1,1,17,2.0,191.32
Palampur,3.4,3616,3,2,30,7.6,176.71
Shimla,7.1,3941,5,4,7,8.3,284.19
Shimla,3.2,2583,1,1,22,10.2,128.28
Dharamshala,8.9,2985,3,3,2,23.8,225.35
Chamba,4.1,3884,5,5,7,5.6,260.62
Kullu,7.2,1830,2,1,27,13.8,123.14
Mandi,6.1,917,5,5,22,24.8,95.32
Kullu,6.1,3594,5,4,24,15.7,206.4
Chamba,3.5,2711,3,2,9,5.6,164.12
Palampur,8.6,1999,2,2,8,24.0,137.97
Dharamshala,9.3,3009,4,3,17,8.7,252.44
Kullu,3.1,614,4,3,5,1.7,112.48
Dharamshala,4.3,2170,3,3,35,11.1,126.95
Solan,9.3,1429,1,1,10,6.4,156.05
Solan,6.8,1508,4,4,28,20.6,110.8
Shimla,4.1,3892,2,2,6,5.9,219.12
Shimla,4.4,2425,1,1,26,20.6,121.94
Bilaspur,7.6,991,1,1,8,1.4,136.59
Dharamshala,8.1,1776,3,2,11,23.3,145.83
Chamba,7.2,1349,1,1,16,1.5,112.72
Palampur,9.7,3681,2,1,4,23.5,229.42
Chamba,6.5,1519,2,2,4,2.3,160.13
Solan,5.1,1748,3,3,30,21.9,86.51
Dharamshala,6.3,1669,4,3,13,20.9,133.93
Mandi,5.5,1114,3,2,22,15.1,90.64
Chamba,4.6,3230,3,3,25,1.4,213.04
Kullu,3.3,2517,1,1,24,15.7,79.93
Mandi,5.5,2029,1,1,25,15.6,92.66
Dharamshala,8.0,1885,5,4,39,14.2,160.07
Kullu,3.1,2833,4,3,25,16.0,136.62
Kullu,6.1,835,1,1,13,24.2,49.09
